idx,src,dst,time,dst_idx,ext_roll
370,35,133,8,209,0
371,37,135,8,27,0
372,0,97,9,5,0
373,65,153,9,6,0
374,38,136,9,8,0
375,2,99,9,15,0
376,4,101,9,30,0
377,5,102,9,25,0
378,6,103,9,38,0
379,7,147,9,31,0
380,9,106,9,43,0
381,10,107,9,46,0
382,11,108,9,48,0
383,40,138,9,65,0
384,12,109,9,68,0
385,13,110,9,69,0
386,14,111,9,71,0
387,15,112,9,70,0
388,16,113,9,83,0
389,17,114,9,89,0
390,18,115,9,88,0
391,19,116,9,99,0
392,42,140,9,106,0
393,20,117,9,119,0
394,21,118,9,125,0
395,22,119,9,131,0
396,23,120,9,124,0
397,24,121,9,140,0
398,25,122,9,138,0
399,26,123,9,136,0
400,51,151,9,154,0
401,28,125,9,170,0
402,29,126,9,171,0
403,30,127,9,182,0
404,32,129,9,191,0
405,33,130,9,194,0
406,52,152,9,192,0
407,56,156,9,193,0
408,34,131,9,198,0
409,35,133,9,209,0
410,37,135,9,27,0
411,37,145,9,32,0
412,0,97,10,5,0
413,38,136,10,8,0
414,66,162,10,23,0
415,47,146,10,21,0
416,4,101,10,30,0
417,54,154,10,29,0
418,5,102,10,25,0
419,9,106,10,43,0
420,10,107,10,46,0
421,11,108,10,48,0
422,48,148,10,59,0
423,40,138,10,65,0
424,12,109,10,68,0
425,14,111,10,71,0
426,67,163,10,67,0
427,15,112,10,70,0
428,16,113,10,83,0
429,17,114,10,89,0
430,55,155,10,90,0
431,18,115,10,88,0
432,19,116,10,99,0
433,20,117,10,119,0
434,21,118,10,125,0
435,22,119,10,131,0
436,23,120,10,124,0
437,24,121,10,140,0
438,25,122,10,138,0
439,50,150,10,141,0
440,26,123,10,136,0
441,51,151,10,154,0
442,28,125,10,170,0
443,29,126,10,171,0
444,68,164,10,175,0
445,30,127,10,182,0
446,45,143,10,180,0
447,32,129,10,191,0
448,33,130,10,194,0
449,52,152,10,192,0
450,34,131,10,198,0
451,35,133,10,209,0
452,46,144,10,206,0
453,37,135,10,27,0
454,37,145,10,32,0
455,0,97,11,5,0
456,2,99,11,15,0
457,4,101,11,30,0
458,54,154,11,29,0
459,5,102,11,25,0
